model,r2_random,rmse_random,r2_geo,rmse_geo,best_iter_random,best_iter_geo,n_features
xgb_with_latlon,0.8701343524505045,0.29100481864238364,0.4643710647418329,0.5907699864382361,999,999,64
xgb_no_geography,0.8297270178380317,0.3332160476706253,0.5189513788612397,0.5598618763028691,999,999,59
ablation_1_structural,0.49759250513418396,0.5723755745047215,0.3480964725892921,0.6517455487276005,447,247,8
ablation_2_plus_lot,0.5463896097218952,0.5438692873177148,0.37648383980897226,0.6373973670896643,757,511,9
ablation_3_plus_amenities,0.6378381360594687,0.48596433334928646,0.44853685927476183,0.5994385280796517,994,987,20
ablation_4_plus_neighborhood,0.8135639213624183,0.34867275840756023,0.48333530521849133,0.5802174702473957,999,999,27
ablation_5_plus_market,0.8234756311061102,0.3392777438168081,0.5013714590700792,0.5700001565163754,999,999,32
ablation_6_full_model,0.8326609311614387,0.33033280996484216,0.42501500587502516,0.6120891251660002,999,999,62
