variable,coef,se,t,p
const,12.510260893818074,0.010085015251814244,1240.48011643488,0.0
ln_sqft,0.3118769507828863,0.0034727326696340393,89.8073593484385,0.0
bedrooms,-0.06750174671812204,0.0023431142166706552,-28.80856009402549,1.6757391475966402e-182
bathrooms,0.23592022288160894,0.0026239092536372664,89.91173096195153,0.0
age,-0.041806282051593036,0.013909448519080027,-3.0056031333122983,0.002650546930905638
age_sq,0.05073769636560884,0.0019160687299147237,26.480102500220315,1.6430989616855433e-154
stories,0.00044870103270214104,0.0002607722243428601,1.7206626734609376,0.08531205343573296
bath_per_bed,-0.02077860220396728,0.002051692538745553,-10.127541925298294,4.170002974353909e-24
sqft_per_bed,-0.002202279119295951,0.002213081859263558,-0.9951186893867533,0.3196785418546034
ln_lot,0.06972230732352985,0.0009582388098584828,72.76088862840649,0.0
has_pool,0.02855245643801721,0.002591720748690671,11.016795097404618,3.1715077869439134e-28
has_spa,0.03268203638057495,0.002650077990726293,12.332480966576368,6.055316663484659e-35
has_basement,-0.042397383881889336,0.0022583155165494286,-18.773897434256668,1.2348489251883573e-78
has_fireplace,-0.002124639739702301,0.0017914558195680202,-1.185985005320769,0.2356282211729842
has_garage,0.10941860136933954,0.0015042257300469397,72.74081222232856,0.0
on_waterfront,-0.13490439969823786,0.03245190385505747,-4.157056556705337,3.223742044568921e-05
has_central_air,0.0692645579279192,0.0013900291557197633,49.82957202221683,0.0
has_forced_air,-0.023327166565504515,0.0015639401751570228,-14.915638677267447,2.6077011459501143e-50
has_hardwood,0.12458888245821044,0.001407077304798409,88.54444743962394,0.0
parking_spaces,0.00024230082313270347,0.0988318278790555,0.0024516476962180315,0.9980438701142379
luxury_score,0.044335991893873175,0.0017593377861741552,25.200386328475297,3.966794290395653e-140
walk_score,-0.010863127056879623,0.001161661699081678,-9.351368875695213,8.652059868843034e-21
bike_score,0.07173946375525904,0.0010054812549646509,71.3483850653995,0.0
transit_score,0.052385177194669896,0.0008181487703601662,64.02891392430847,0.0
avg_school_rating,-0.049120492380129686,0.0007225216024663806,-67.98480794546943,0.0
school_count,-0.0023576570032662423,0.0005212984764327702,-4.522662370700981,6.106660809993482e-06
nearest_school_distance,-0.015745415127310227,0.0007542084928952413,-20.876740683291732,8.713685374626717e-97
property_tax_rate,-0.029150384331210356,0.0007839212795117585,-37.18534640285028,1.1773622067067655e-302
is_condo,-0.037024849313309405,0.0037108756776390367,-9.977388770099044,1.914384690833806e-23
has_hoa,-0.10766211099280076,0.002380035025504934,-45.23551537648477,0.0
ln_hoa,0.0438747141921382,0.001393218972071835,31.49161407620855,1.131527122346012e-217
tag_new_construction,0.10348069905156648,0.002906503876685734,35.60315191100478,1.2521284768511052e-277
tag_foreclosure,-0.4063900836874578,0.00977256203842917,-41.5848046898437,0.0
sqft_x_age,-0.1099721543345997,0.014046827651987046,-7.8289672984663685,4.918935540007701e-15
pool_x_south,0.008119596563043502,0.0011898853194987377,6.823848004498484,8.86336606398563e-12
waterfront_x_sqft,0.13705683824892476,0.009184379717094819,14.922819229024457,2.3416684450919193e-50
basement_x_north,-0.025490040780514485,0.001202556709646256,-21.19653948628554,1.027818251641276e-99
condo_x_walkscore,0.08159583868728772,0.0013346339142952237,61.13724356418426,0.0
age_x_luxury,0.044015662289863276,0.0014835104533609512,29.669937404312904,1.8762436530339638e-193
roof_cat_Metal,0.07017351405102361,0.0080064581660963,8.764613839884465,1.8741795429592264e-18
roof_cat_Other,0.033111615787464,0.007943972240990034,4.1681434404581195,3.0709067058971555e-05
roof_cat_Shingle_Comp,-0.07371516502128181,0.0075964779839938976,-9.703860812418966,2.903009800312546e-22
roof_cat_Slate,0.008371081455198371,0.01719552074117138,0.48681756029379325,0.6263876248732123
roof_cat_Tile,-0.11015041370372027,0.007886469200242828,-13.967012475028582,2.478054122661378e-44
roof_cat_Unknown,0.003744911159938564,0.007631325099806241,0.49072881982627725,0.623618260018022
construction_cat_Concrete_Block,0.2688178184390626,0.002708326314442638,99.25606711626406,0.0
construction_cat_Other,0.07490637003451775,0.0022916057084639745,32.68728549499305,2.3676170023017508e-234
construction_cat_Steel,0.027121960831319965,0.013693857852171594,1.9805931333673747,0.047636919615265276
construction_cat_Stone,0.14499960080534224,0.0045728392047608216,31.70887807609372,1.1721807008428776e-220
construction_cat_Stucco,0.14861249647987582,0.002094455581432234,70.95519131432303,0.0
construction_cat_Unknown,0.17738776599333783,0.0020449810016221395,86.74298971610426,0.0
construction_cat_Vinyl,0.012414692892664397,0.0017968240696294958,6.909242313981413,4.872490696681538e-12
construction_cat_Wood_Frame,0.10255991191206666,0.002145447623394766,47.80350300502091,0.0
foundation_cat_Concrete,0.21729813210649174,0.005164834871110541,42.07261946010064,0.0
foundation_cat_Crawlspace,0.18081354415653514,0.005767725527513882,31.34919359355731,9.97833010620953e-216
foundation_cat_Other,0.14354906108536017,0.005836220968048647,24.59623476753933,1.38597531000125e-133
foundation_cat_Pier_Raised,0.16118491556172415,0.006397232498833677,25.19603837926961,4.426861389485397e-140
foundation_cat_Slab,0.12228167343158515,0.005202499054813795,23.504410504109508,3.676434363492889e-122
foundation_cat_Stone,0.03176682392847073,0.00979433301550258,3.2433881794901036,0.001181171647467094
foundation_cat_Unknown,0.17384703490821618,0.005063287670697755,34.33481291499657,2.373741544030717e-258
region_Northeast,0.48694797327620326,0.003000424496972807,162.29302679254073,0.0
region_South,0.022033665918830242,0.00275039786770285,8.011083115488633,1.1370256980880176e-15
region_West,0.4007941459324695,0.0031009925516071127,129.24705211715354,0.0
