variable,coef,se,t,p
const,7.731552411430626,0.04952381509131435,156.11786767991975,0.0
ln_sqft,0.6280515162982743,0.006993319037443324,89.8073594148341,0.0
bedrooms,-0.062016885446280354,0.0021527242347853448,-28.80856007665295,1.6757399872754306e-182
bathrooms,0.2034950951356044,0.002263276327734436,89.91173222728185,0.0
age,-0.0013285740540762035,0.00044203175286894314,-3.0056077316918657,0.002650506852571522
age_sq,1.2163220147762203e-05,4.5933432841380117e-07,26.480102607973826,1.643094266731313e-154
stories,1.999196808002408e-05,1.1618760733380352e-05,1.7206626884559,0.08531205071314489
bath_per_bed,-0.07274218850489828,0.007182610295009158,-10.127542149327416,4.1699934226668284e-24
sqft_per_bed,-8.773375098681142e-06,8.816401781370576e-06,-0.9951197003316761,0.3196780502285953
ln_lot,0.01822835968192002,0.0002505241511473948,72.76088791613326,0.0
has_pool,0.02855245680857336,0.0025917207349386235,11.01679529883822,3.1715006918214863e-28
has_spa,0.03268203629160967,0.002650077980658137,12.33248097985902,6.055315665136236e-35
has_basement,-0.042397382730469994,0.002258315445194868,-18.773897517585976,1.2348469879222912e-78
has_fireplace,-0.002124639132704362,0.001791455815808547,-1.1859846689802047,0.23562835400069249
has_garage,0.10941860111370356,0.0015042257290490259,72.7408121006401,0.0
on_waterfront,-0.13490439923749814,0.03245190385518212,-4.157056542491753,3.223742245060588e-05
has_central_air,0.06926455743806333,0.0013900291417454746,49.82957217075828,0.0
has_forced_air,-0.023327165736501523,0.0015639401660140502,-14.91563823439263,2.607718448604021e-50
has_hardwood,0.12458888333245341,0.0014070772993942245,88.5444484010164,0.0
parking_spaces,1.937098870290347e-12,2.8817329670441795e-10,0.0067219929550837165,0.9946366659938872
luxury_score,0.03437015165885438,0.0013638738621125687,25.200388843596453,3.9665424802537024e-140
walk_score,-0.0004098255927286921,4.382519877282263e-05,-9.351368714905583,8.652073023660174e-21
bike_score,0.003969993111833388,5.564236779095722e-05,71.34838558179717,0.0
transit_score,0.0028678286070474898,4.4789586849616713e-05,64.02891405710815,0.0
avg_school_rating,-0.05438967755695603,0.0008000269159661202,-67.98480960015517,0.0
school_count,-0.027348566100848577,0.006047005000764767,-4.522663053427241,6.10664110604767e-06
nearest_school_distance,-0.025822796444772905,0.0012369169938977887,-20.876741585868082,8.713520810475241e-97
property_tax_rate,-0.05528041535348997,0.0014866182034689792,-37.18534807692706,1.1772888639394465e-302
is_condo,-0.037024850230877274,0.003710875674145318,-9.977389026757079,1.9143797402253623e-23
has_hoa,-0.10766211089957795,0.002380034986829691,-45.235516072387036,0.0
ln_hoa,0.011705846177746759,0.0003717130993953816,31.49161597153065,1.1314595192202749e-217
tag_new_construction,0.10348069841334447,0.0029065038727997703,35.603151739021705,1.2521361498711193e-277
tag_foreclosure,-0.4063900837611966,0.009772562040118154,-41.58480469020212,0.0
sqft_x_age,-0.0004717742412965806,6.026012228242753e-05,-7.828962561434343,4.9191208536752785e-15
pool_x_south,0.0181012579304409,0.0026526467707544865,6.823847837566552,8.863376368791729e-12
waterfront_x_sqft,0.06377842531998063,0.004273885816671549,14.922819199145218,2.3416694938484985e-50
basement_x_north,-0.06999128650419585,0.0033020147568158273,-21.19653958533162,1.0278160890252323e-99
condo_x_walkscore,0.003903762187208463,6.385244028989087e-05,61.13724345514962,0.0
age_x_luxury,0.0006905404957930882,2.3274083216529612e-05,29.669933263049252,1.876474464500293e-193
roof_cat_Metal,0.07017351491500201,0.008006458162752392,8.764613951455203,1.8741776869743367e-18
roof_cat_Other,0.03311161692800065,0.0079439722376021,4.168143585808331,3.070904748110175e-05
roof_cat_Shingle_Comp,-0.0737151644870279,0.0075964779808091,-9.703860746158117,2.9030116863303636e-22
roof_cat_Slate,0.008371082721379038,0.017195520750739067,0.4868176336572562,0.6263875728786577
roof_cat_Tile,-0.11015041269051362,0.007886469195774888,-13.967012354467297,2.478058316589432e-44
roof_cat_Unknown,0.003744911784157261,0.007631325096876657,0.49072890181155765,0.6236182020239405
construction_cat_Concrete_Block,0.2688178184033233,0.0027083260980781017,99.25607503250195,0.0
construction_cat_Other,0.07490636957988644,0.002291605707764882,32.687285306575006,2.367631597824313e-234
construction_cat_Steel,0.027121961014964464,0.013693857844589276,1.9805931478747538,0.04763691798703864
construction_cat_Stone,0.1449996007089799,0.004572839207940861,31.708878032970002,1.1721823052803796e-220
construction_cat_Stucco,0.14861249635213813,0.0020944555786406188,70.95519134790784,0.0
construction_cat_Unknown,0.17738776496809056,0.0020449810000075746,86.742989283242,0.0
construction_cat_Vinyl,0.01241469287770574,0.0017968240689596822,6.909242308231962,4.872490894138278e-12
construction_cat_Wood_Frame,0.1025599113278911,0.0021454476196064425,47.80350281714384,0.0
foundation_cat_Concrete,0.21729813260367084,0.005164834849797572,42.072619729977916,0.0
foundation_cat_Crawlspace,0.18081354506771502,0.005767725519314945,31.34919379609988,9.978266684204534e-216
foundation_cat_Other,0.1435490617128185,0.005836220961168693,24.59623490404535,1.3859706488829183e-133
foundation_cat_Pier_Raised,0.16118491616568323,0.006397232489311616,25.19603851118248,4.426846652926976e-140
foundation_cat_Slab,0.12228167350340387,0.005202499046751097,23.50441055434069,3.6764300150687384e-122
foundation_cat_Stone,0.031766824922115286,0.009794333014593305,3.2433882812421766,0.0011811712255876852
foundation_cat_Unknown,0.17384703479286615,0.005063287662034982,34.334812950958316,2.373738610597118e-258
region_Northeast,0.48694797339119117,0.0030004244939206615,162.29302699595522,0.0
region_South,0.022033664372614146,0.0027503978413142283,8.011082630171698,1.1370301856407947e-15
region_West,0.4007941448424641,0.0031009925521863872,129.24705174150773,0.0
