variable,mean_abs_shap
ln_sqft,0.17400743067264557
bathrooms,0.16102507710456848
avg_school_rating,0.08814097940921783
region_West,0.0750875398516655
ln_lot,0.07474827021360397
luxury_score,0.07130001485347748
property_tax_rate,0.06940716505050659
nearest_school_distance,0.047175612300634384
region_Northeast,0.04249763488769531
bike_score,0.03995014727115631
ln_hoa,0.039756275713443756
has_garage,0.03778256103396416
age,0.03694174066185951
has_hardwood,0.03108942322432995
waterfront_x_sqft,0.029179977253079414
sqft_per_bed,0.0289430171251297
walk_score,0.027586886659264565
has_central_air,0.02725778892636299
region_South,0.02497166208922863
transit_score,0.02128736861050129
bath_per_bed,0.018676621839404106
roof_cat_Shingle_Comp,0.016837917268276215
sqft_x_age,0.012873374857008457
construction_cat_Unknown,0.012313016690313816
construction_cat_Stucco,0.011333988048136234
parking_spaces,0.010989967733621597
construction_cat_Vinyl,0.01090232189744711
age_sq,0.00922967866063118
construction_cat_Concrete_Block,0.00876736268401146
on_waterfront,0.00808318704366684
stories,0.007524613291025162
foundation_cat_Concrete,0.006802935153245926
has_basement,0.006560285110026598
has_hoa,0.006379136350005865
age_x_luxury,0.006090256851166487
is_condo,0.005778271704912186
condo_x_walkscore,0.005612872075289488
pool_x_south,0.005442899186164141
tag_new_construction,0.00536991935223341
has_forced_air,0.00524168973788619
foundation_cat_Slab,0.004994309041649103
roof_cat_Unknown,0.004852370359003544
bedrooms,0.004661286249756813
construction_cat_Wood_Frame,0.00442053796723485
has_pool,0.004373344127088785
foundation_cat_Unknown,0.004030699376016855
roof_cat_Metal,0.003528366796672344
has_fireplace,0.003385707037523389
construction_cat_Other,0.0029181374702602625
tag_foreclosure,0.00278071197681129
basement_x_north,0.0024371198378503323
foundation_cat_Pier_Raised,0.002085316926240921
construction_cat_Stone,0.0020824067760258913
has_spa,0.0017726804362609982
roof_cat_Tile,0.0017147306352853775
roof_cat_Other,0.0014831859152764082
foundation_cat_Crawlspace,0.0010341695742681623
foundation_cat_Other,0.0008585686446167529
school_count,0.0008040699176490307
foundation_cat_Stone,0.0003373564686626196
construction_cat_Steel,0.00010494200978428125
roof_cat_Slate,7.787979120621458e-05
