scenario,N,R2,beta_ln_sqft,beta_bedrooms,beta_bathrooms,beta_age,beta_age_sq,beta_ln_lot,beta_has_pool,beta_has_garage,beta_luxury_score,beta_tag_foreclosure,beta_on_waterfront
Full sample (baseline),788842,0.6342645712398405,0.6291497085860492,-0.06253937708298193,0.2046302108480406,-0.0013063239445552082,1.2157460512409509e-05,0.01825913172966425,0.028846538996710375,0.10948343518943941,0.034159885302552165,-0.40626594489646634,0.003407492048199623
Drop missing year_built,640055,0.6382685712453622,0.6068184942086208,-0.0628192249474294,0.20265651716406818,-0.0035467801729982054,1.5989806760788056e-05,0.01875321767374919,0.02835688186909949,0.09735360471060732,0.03611810016845016,-0.39330863787402526,-0.19706571029128697
Drop missing lot_size_sqft,664900,0.6505266867333319,0.5774727426791402,-0.0358274818203093,0.1774986550325188,0.002425769595256238,1.0796066581130782e-05,0.058552920800207575,0.03252197316521902,0.10779101746564317,0.027971908904656895,-0.3993766892734994,0.533120329107087
Drop both missing,534803,0.6535187225011015,0.550142646057374,-0.03715353325671315,0.17847739888996103,-0.00024671950231596124,1.4263503675634656e-05,0.05886080812071794,0.0316361881240981,0.09615864029099051,0.030589359019737115,-0.3840536665551645,0.45098599860952976
