variable,tau_0.1,tau_0.25,tau_0.5,tau_0.75,tau_0.9
condo_x_walkscore,0.09998897118856576,0.10163621372083753,0.08864137304550468,0.06819214478559843,0.06868347322483714
age_x_luxury,0.053901540188448394,0.04394070996114863,0.038229670244220415,0.037654097542031195,0.03712006468231266
roof_cat_Metal,-0.00815807405609803,0.04031307685249885,0.035074643255370574,0.07286993336492742,0.12787981100700563
roof_cat_Other,-0.0019282099452198054,0.03822601443198437,-0.0007021735834769061,0.007828057809319944,0.030573480300517986
roof_cat_Shingle_Comp,-0.03762212077720051,-0.02165351267672122,-0.09329276732273684,-0.12490439282146326,-0.1581275001166489
roof_cat_Slate,0.03864796910443147,0.006514172531296936,-0.016504582610650687,0.0021526665204874007,-0.011575405365874758
roof_cat_Tile,-0.08108337379560737,-0.075032508809727,-0.13314550130314728,-0.12073042187557803,-0.11173602040753394
roof_cat_Unknown,0.0013777838218942406,0.029756474222040197,-0.02072716278189546,-0.03015086826167135,-0.04263688984366354
construction_cat_Concrete_Block,0.17894633103583146,0.20191172753504816,0.26795002454690575,0.326430228381696,0.3860183817255347
construction_cat_Other,0.013509989809676881,0.03728601950288635,0.08198672867032997,0.12232397260754624,0.15456783013382847
construction_cat_Steel,-0.01462339848103511,0.03626694733884506,0.05645142016214777,0.07732077046580343,0.07193904185021438
construction_cat_Stone,0.08832289135634142,0.10476105408173453,0.13258447511839222,0.1606987953701946,0.2185698552420945
construction_cat_Stucco,0.07880345120270249,0.10940080498653515,0.15060305662780138,0.1851044073843866,0.22283256319275324
construction_cat_Unknown,0.08293869922476915,0.09932516403432601,0.14293863326452083,0.2040907843756372,0.2694218066098415
construction_cat_Vinyl,0.006936825872799091,0.013151897358341103,0.022626894378319662,0.02607179824077832,0.02853035768589507
construction_cat_Wood_Frame,0.01844167037043576,0.059284417295643266,0.10662683558730635,0.1512926040130651,0.1999362962654061
foundation_cat_Concrete,0.30559956260003673,0.2723207419226128,0.20628665991966955,0.16804842561191435,0.16303328340791268
foundation_cat_Crawlspace,0.27979075512394047,0.2534320335907978,0.18767545719674672,0.14296826369127302,0.11444678607631431
foundation_cat_Other,0.21193125589070405,0.2005622279691579,0.15862356213256135,0.10320323952657873,0.1215280674286987
foundation_cat_Pier_Raised,0.1307646212853797,0.18539704590347128,0.18245021145594364,0.17506331676088394,0.210221242634816
foundation_cat_Slab,0.21363530834241828,0.18968869366472063,0.12643082982253873,0.06004888367613148,0.02197799127475264
foundation_cat_Stone,0.05098890904173459,0.06928267514427944,0.07719787535438627,-0.012921236867214247,-0.07104368534783134
foundation_cat_Unknown,0.22939124871663807,0.22059736013875408,0.17578605651146972,0.15176033675561484,0.14755042134856922
region_Northeast,0.338679523534438,0.39451647456701266,0.47075842575593896,0.5527407433669396,0.6027001958389064
region_South,0.03587540300497949,0.04136913543207754,0.04233883223227508,0.05352910650231024,0.04943155846103764
region_West,0.36468765557879124,0.3722635475263587,0.3759893920067725,0.3989336587744958,0.4503405640348319
