metric,baseline,winsorized
R2,0.6342645712398404,0.6401619168061571
ln_sqft,0.6291497085846827,0.6099742481392126
bedrooms,-0.06253937708152302,-0.0656463321516763
bathrooms,0.20463021084777544,0.21129309773012286
age,-0.0013063239445989644,-0.0013267039528491729
age_sq,1.2157460512799388e-05,1.2749921975046489e-05
ln_lot,0.018259131729344444,0.05797235290868282
has_pool,0.02884653899651412,0.04653675127720655
has_garage,0.10948343519065148,0.11090106864123753
luxury_score,0.03415988530255404,0.029578966638762333
tag_foreclosure,-0.4062659448964657,-0.399588031598668
on_waterfront,0.003407492048275243,0.002838262287207377
